Algorithm,Mean_Runtime_Seconds,Std_Runtime_Seconds,Mean_Path_Length_Meters,Std_Path_Length_Meters,Runtime_vs_Dijkstra,Path_Length_vs_Dijkstra
A* Algorithm,0.0028282359999138424,0.0014130867380042534,867.0710399999999,363.3619238920664,2.2054654881153963,1.0
Bellman-Ford Algorithm,0.02029868999961759,0.004254485944559534,867.0710399999999,363.3619238920664,15.82896909928079,1.0
Breath-First Search,0.00022118999972003812,9.838890932043195e-05,968.0289,422.321639584432,0.17248451356734698,1.1164355114432147
Delta-Stepping,0.002639527004212091,0.0004508599567859373,968.0289,422.321639584432,2.0583097425093695,1.1164355114432147
Depth-First Search,0.00021553600206967462,0.0001258420365823026,5695.07301,3243.096207652567,0.16807551209500093,6.568173479764703
Dijkstra,0.0012823759950696906,0.0006560919360489725,867.0710399999999,363.3619238920664,1.0,1.0
Greedy Best-First Search,0.00010307800373991343,5.297002920308879e-05,1010.92238,497.8886059054984,0.08038048445714369,1.1659049067075289
Hybrid Breadth-Depth First Search,0.0007060040009673183,0.0003299000947414469,969.60406,427.23915215002853,0.5505436811681356,1.1182521561324434
Multi-Heuristic A* Algorithm,0.002483990998007309,0.001223835167984862,977.2744899999999,433.44904225277554,1.9370223768671813,1.1270985247068106
Random Breadth-First Search,0.0006492399994749124,0.0003145813702003458,965.67756,428.05381044217677,0.5062789711995735,1.1137236921210054
Random Depth-First Search,0.001960217000450893,0.0012525886835260617,5419.801189999999,2488.3830098473068,1.5285821069540257,6.2507002771076285
Random Weighted A* Algorithm,0.0019648520008194712,0.0010110433511858338,977.2744899999999,433.44904225277554,1.5321964918040216,1.1270985247068106
Randomized A* Algorithm,0.0028851849981583167,0.0014420107320319401,976.2475199999999,432.62311861897257,2.2498744590127187,1.1259141119509655
